,Internet,admin,cam,external,hpc_ic,hpc_mgt,internal,lab,mgt,office,pool,prt,san,slb,staff_1,staff_2,vmo
Internet,X,(X),,X,,,,(X),,(X),(X),,,,(X),(X),
admin,X,X,,X,,,X,X,,X,X,,,X,X,X,
cam,,,X,,,,,,,,,,,,,,
external,(X),(X),,X,,,,(X),,(X),(X),,,(X),(X),(X),
hpc_ic,,,,,X,,,,,,,,,,,,
hpc_mgt,,,,,,X,,,,,,,,,,,
internal,,(X),,,,,X,(X),,(X),(X),,,(X),(X),(X),
lab,X,(X),,X,,,X,X,,,,,,,,,
mgt,,,,,,,,,X,,,,,,,,
office,X,(X),,X,,,X,,,X,,,,,,,
pool,X,(X),,X,,,X,,,,X,,,,,,
prt,,,,,,,,,,,,X,,,,,
san,,,,,,,,,,,,,X,,,,
slb,,(X),,X,,,X,,,,,,,X,,,
staff_1,X,(X),,X,,,X,,,,,,,,X,,
staff_2,X,(X),,X,,,X,,,,,,,,,X,
vmo,,,,,,,,,,,,,,,,,X
